,Media Sources,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
51,@BBCNews,Sat Jul 14 10:58:32 +0000 2018,In pictures: France marks Bastille Day with spectacular parade https://t.co/GMxgaRjNNS,0.0,0.0,1.0,0.0,51
52,@BBCNews,Sat Jul 14 10:53:32 +0000 2018,Gerry Adams calls on home attackers to meet him https://t.co/UVzLBDhfQy,-0.5719,0.0,0.709,0.291,52
53,@BBCNews,Sat Jul 14 10:12:22 +0000 2018,"Camberwell stabbing: Man, 21, charged with death of girl, 17 https://t.co/6NRuFimswB",-0.6908,0.0,0.612,0.388,53
54,@BBCNews,Sat Jul 14 10:07:22 +0000 2018,Everyone makes same joke after longest Wimbledon semi-final https://t.co/6Zw4DySaP9,0.296,0.216,0.784,0.0,54
55,@BBCNews,Sat Jul 14 09:31:23 +0000 2018,"RT @BBCWorld: Bonne #FêteNationale!

France marks #BastilleDay with parades in Paris 🇫🇷 #14juillet https://t.co/teJKH5dXo8",0.0,0.0,1.0,0.0,55
56,@BBCNews,Sat Jul 14 09:09:24 +0000 2018,Classic Aston Martin sells for record £10m at auction https://t.co/IbiKJ07TEh,0.0,0.0,1.0,0.0,56
57,@BBCNews,Sat Jul 14 09:06:52 +0000 2018,British Fencing: Crowdfunding appeal for Tokyo 2020 raises just £170 in first month https://t.co/LQWbRLEn0O,0.0,0.0,1.0,0.0,57
58,@BBCNews,Sat Jul 14 08:52:31 +0000 2018,Huge iceberg threatens Greenland village https://t.co/ikF4WvOMak,-0.0772,0.258,0.449,0.292,58
59,@BBCNews,Sat Jul 14 08:38:08 +0000 2018,Toddler dies after van crash on parkland in Birmingham https://t.co/d1gXzwDQls,-0.4019,0.0,0.769,0.231,59
60,@BBCNews,Sat Jul 14 08:30:55 +0000 2018,"RT @BBCScotlandNews: Donald Trump to play golf at Turnberry as protests against his visit to the UK continue
https://t.co/mecSpIthaM https:…",0.128,0.108,0.807,0.085,60
61,@BBCNews,Sat Jul 14 08:17:32 +0000 2018,"RT @BBCSport: Former Napoli boss Maurizio Sarri has been appointed as Chelsea's new manager on a three-year contract.

👉 https://t.co/qNZbg…",0.0,0.0,1.0,0.0,61
62,@BBCNews,Sat Jul 14 08:11:36 +0000 2018,"Nancy Sinatra Senior, Frank's first wife, dies aged 101 https://t.co/zUjd1AA9CB",0.0,0.0,1.0,0.0,62
63,@BBCNews,Sat Jul 14 07:54:39 +0000 2018,"RT @BBCWorld: Saved by their smell 👃

How #ThaiCaveRescue divers sniffed out the Wild Boars  

https://t.co/rYEl75IIIK https://t.co/9XTbT6t…",0.4215,0.157,0.843,0.0,63
64,@BBCNews,Sat Jul 14 07:33:16 +0000 2018,"RT @BBCMOTD: Today, England chase their best #WorldCup finish since 1966 🏴󠁧󠁢󠁥󠁮󠁧󠁿

#BELENG https://t.co/SjIYzfDTCt",0.6369,0.244,0.756,0.0,64
65,@BBCNews,Sat Jul 14 07:11:23 +0000 2018,The eye doctor who could not see the stars https://t.co/5FSSse2hyO,0.0,0.0,1.0,0.0,65
66,@BBCNews,Sat Jul 14 06:56:59 +0000 2018,Serena Williams: Wimbledon finalist at 36 and a mum - how has she done it? https://t.co/BDiQkO6nFC,0.0,0.0,1.0,0.0,66
67,@BBCNews,Sat Jul 14 06:49:49 +0000 2018,Sir David Attenborough polar ship set for launch https://t.co/zvFNvJfZ4B,0.0,0.0,1.0,0.0,67
68,@BBCNews,Sat Jul 14 06:45:06 +0000 2018,Eritrea's Isaias Afwerki in historic Ethiopia visit https://t.co/GLhBCNO7oW,0.0,0.0,1.0,0.0,68
69,@BBCNews,Sat Jul 14 06:39:52 +0000 2018,US lawmaker caught speeding tells cop he often does so https://t.co/s4MM16SpMk,0.0,0.0,1.0,0.0,69
70,@BBCNews,Sat Jul 14 06:37:29 +0000 2018,"Horse sense: Happiest equines love to snort, says study https://t.co/MItTJzSqeh",0.8555,0.512,0.488,0.0,70
71,@BBCNews,Sat Jul 14 06:25:00 +0000 2018,Video games and mental health: 'Nobody's properly talking' https://t.co/p15DmyRk2y,0.0,0.0,1.0,0.0,71
72,@BBCNews,Sat Jul 14 03:07:02 +0000 2018,Trump to play golf at Turnberry as protests continue https://t.co/SWHKeIaIlD,0.128,0.195,0.65,0.154,72
73,@BBCNews,Sat Jul 14 02:33:01 +0000 2018,White House: Trump-Putin summit 'is on' after hacking indictment https://t.co/cTbUBxUvih,0.0,0.0,1.0,0.0,73
74,@BBCNews,Sat Jul 14 01:27:46 +0000 2018,Wittenoom: Tourists urged to stay away from asbestos town https://t.co/94vDN6A1Ez,0.0,0.0,1.0,0.0,74
75,@BBCNews,Sat Jul 14 01:20:30 +0000 2018,British POWs sank with the Lisbon Maru - should it be raised? https://t.co/Iwt2EZDL3a,0.0,0.0,1.0,0.0,75
76,@BBCNews,Sat Jul 14 00:55:45 +0000 2018,The full story of Thailand’s extraordinary cave rescue https://t.co/AuBOdKBcmq,0.5106,0.292,0.708,0.0,76
77,@BBCNews,Sat Jul 14 00:24:49 +0000 2018,'Explosive' thrown at Gerry Adams' house https://t.co/6udne6T9iP,0.0,0.0,1.0,0.0,77
78,@BBCNews,Sat Jul 14 00:19:10 +0000 2018,Trump arrives in Scotland amid protests https://t.co/zgdfZFrrCI,-0.2263,0.0,0.759,0.241,78
79,@BBCNews,Fri Jul 13 23:01:37 +0000 2018,Newspaper headlines: Trump's 'fake schmooze' over trade deal https://t.co/1fMHozh4ER,-0.4767,0.0,0.721,0.279,79
80,@BBCNews,Fri Jul 13 21:48:19 +0000 2018,Scarlett Johansson quits trans role after LGBT backlash https://t.co/c5mYtHsEUa,0.0,0.0,1.0,0.0,80
81,@BBCNews,Fri Jul 13 20:07:34 +0000 2018,Pakistan election: More than 100 die in bomb attacks on poll rallies https://t.co/uqurwHAuU5,-0.8824,0.0,0.493,0.507,81
82,@BBCNews,Fri Jul 13 19:13:41 +0000 2018,Trump May meeting: The Wacky Races of press conferences https://t.co/huy3vkpiZU,0.0,0.0,1.0,0.0,82
83,@BBCNews,Fri Jul 13 19:08:49 +0000 2018,Wimbledon 2018: Kevin Anderson beats John Isner in record-breaking semi-final https://t.co/g5YRslPVPd,0.0,0.0,1.0,0.0,83
84,@BBCNews,Fri Jul 13 17:59:32 +0000 2018,RT @BBCJonSopel: Meet Dick Dastardly and Penelope Pitstop. My blog on another extraordinary day. #TrumpVisitUK  https://t.co/M80Ot4wbPA,-0.5106,0.0,0.82,0.18,84
85,@BBCNews,Fri Jul 13 17:57:32 +0000 2018,"Grenfell Tower fire: Two jailed for £125,000 relief fraud https://t.co/FNxyk74GnX",-0.743,0.168,0.324,0.508,85
86,@BBCNews,Fri Jul 13 17:56:57 +0000 2018,"Jeremy Corbyn says it's not Trump's business who's the British PM, after the US president's endorsement of Boris Jo… https://t.co/iqv0TQH6Ej",0.3182,0.108,0.892,0.0,86
87,@BBCNews,Fri Jul 13 17:54:46 +0000 2018,John Surtees' 'very special' 1957 BMW sells for £4m https://t.co/J5w7ShQKbE,0.4576,0.25,0.75,0.0,87
88,@BBCNews,Fri Jul 13 17:32:43 +0000 2018,"RT @BBCLookNorth: There's a large rally against Donald Trump taking place in Sheffield. 

Read more: https://t.co/32ZcFAKT5d https://t.co/c…",0.0,0.0,1.0,0.0,88
89,@BBCNews,Fri Jul 13 17:22:33 +0000 2018,"RT @BBCSport: All of England's 2018 #worldcup magic moments
https://t.co/69x5UKi0Oz  #bbcworldcupmoments",0.0,0.0,1.0,0.0,89
90,@BBCNews,Fri Jul 13 17:16:56 +0000 2018,"RT @bbctennis: FIVE hours!

Isner &amp; Anderson are leaving it all out there on Centre Court.

📺 @BBCTwo 
📻 @5liveSport
💻📱 https://t.co/ldFFv9…",0.0,0.0,1.0,0.0,90
91,@BBCNews,Fri Jul 13 17:15:46 +0000 2018,🦁🦁🦁 https://t.co/uXbMUa477s,0.0,0.0,1.0,0.0,91
92,@BBCNews,Fri Jul 13 17:15:17 +0000 2018,Russians indicted over US election hack https://t.co/bLMBcltdNE,0.0,0.0,1.0,0.0,92
93,@BBCNews,Fri Jul 13 17:14:48 +0000 2018,"RT @bbctennis: Gordon Reid and Alfie Hewett are Wimbledon finalists once again!

The British pair have won their men's wheelchair semi-fina…",0.6114,0.166,0.834,0.0,93
94,@BBCNews,Fri Jul 13 17:11:54 +0000 2018,US President Donald Trump flies away from Windsor Castle in Marine One after meeting the Queen. He's due to fly to… https://t.co/6pKWSzhp51,0.0,0.0,1.0,0.0,94
95,@BBCNews,Fri Jul 13 17:06:35 +0000 2018,US President Donald Trump and his wife Melania leave Windsor Castle after meeting the Queen… https://t.co/OCP6ooK7yu,-0.0516,0.0,0.926,0.074,95
96,@BBCNews,Fri Jul 13 16:55:40 +0000 2018,RT @BBCNewsGraphics: The Queen has seen plenty of world leaders come and go - Donald Trump is the 13th US President during her reign https:…,0.0,0.0,1.0,0.0,96
97,@BBCNews,Fri Jul 13 16:51:27 +0000 2018,#PlaneBae: A cautionary tale about privacy when a story goes viral https://t.co/mYMdEYjf5J,0.0,0.0,1.0,0.0,97
98,@BBCNews,Fri Jul 13 16:49:15 +0000 2018,Three Lions breaks chart record https://t.co/c0En0n4Wsw,0.0,0.0,1.0,0.0,98
99,@BBCNews,Fri Jul 13 16:48:24 +0000 2018,RT @BBCBreaking: Former PM Nawaz Sharif arrested on return to Pakistan as elsewhere scores die in blasts targeting election rallies https:/…,-0.7906,0.0,0.731,0.269,99
100,@CBSNews,Sun Jul 15 02:18:03 +0000 2018,"Papa John's dumped by sports teams, schools over Schnatter comments https://t.co/2Of9haH1Kx https://t.co/hGVDdqVEKf",-0.4019,0.0,0.803,0.197,0
101,@CBSNews,Sun Jul 15 02:03:04 +0000 2018,Man seen on video berating woman over Puerto Rico shirt charged with felony hate crimes https://t.co/NRrAgsQhkO https://t.co/DDdElf0gvV,-0.8402,0.0,0.609,0.391,1
102,@CBSNews,Sun Jul 15 01:48:04 +0000 2018,"Roger Stone says he's ""probably"" the unnamed person in Russian hacking indictment https://t.co/JKGYAWha0b https://t.co/55OxBZCE24",0.0,0.0,1.0,0.0,2
103,@CBSNews,Sun Jul 15 01:40:07 +0000 2018,Second-generation firefighter killed battling Ferguson fire near Yosemite National Park https://t.co/OrdC0odE93 https://t.co/3rhKJVGSNR,-0.8402,0.0,0.5,0.5,3
104,@CBSNews,Sun Jul 15 01:33:03 +0000 2018,"Baby dead after being left in hot car in south Florida, police say https://t.co/ZeXwKgHK9Z https://t.co/bKb2KPsJXQ",-0.6486,0.0,0.765,0.235,4
105,@CBSNews,Sun Jul 15 01:18:03 +0000 2018,"Nancy Sinatra Sr., Frank Sinatra's first wife, dead at 101 https://t.co/p5PC5MjRB4 https://t.co/eTPdrHJdei",-0.6486,0.0,0.719,0.281,5
106,@CBSNews,Sun Jul 15 01:03:03 +0000 2018,"Hyundai union warns Trump tariffs could cost 20,000 U.S. jobs https://t.co/zyOnS8QEDa https://t.co/glK6VcJXoD",-0.1027,0.0,0.887,0.113,6
107,@CBSNews,Sun Jul 15 00:48:03 +0000 2018,"Man rescued from Mount Hood after climbing it to kill himself, authorities say https://t.co/BQZ3ORw2sD https://t.co/uoJKQYVGCq",-0.4404,0.137,0.634,0.229,7
108,@CBSNews,Sun Jul 15 00:33:03 +0000 2018,Walmart patents audio surveillance technology to record customers and employees https://t.co/YgOnc7OH8A https://t.co/vBPuE9NhlO,0.0,0.0,1.0,0.0,8
109,@CBSNews,Sun Jul 15 00:26:04 +0000 2018,World Cup 2018: Belgium defeats England for third place https://t.co/4Royze9eXC https://t.co/5d10BPxMlE,-0.3182,0.0,0.813,0.187,9
110,@CBSNews,Sun Jul 15 00:18:05 +0000 2018,Maryland was told its voter registration vendor was financed by a Russian oligarch https://t.co/GXiZjrU0Xa https://t.co/AXRWT885p2,0.0,0.0,1.0,0.0,10
111,@CBSNews,Sun Jul 15 00:03:04 +0000 2018,Angelique Kerber beats Serena Williams to win Wimbledon https://t.co/pF5K7ZEO7b https://t.co/lAguseYhNG,0.5859,0.297,0.703,0.0,11
112,@CBSNews,Sat Jul 14 23:54:05 +0000 2018,"Inside the Trump administration's plan to reunite 2,500 immigrant children with their families… https://t.co/3NhLGVDu9I",0.0,0.0,1.0,0.0,12
113,@CBSNews,Sat Jul 14 23:48:04 +0000 2018,Report: Vice President Pence family's failed gas stations cost taxpayers $20 million https://t.co/YkW1AkzwyC https://t.co/8JDHtXkO7I,-0.5106,0.0,0.798,0.202,13
114,@CBSNews,Sat Jul 14 23:46:05 +0000 2018,"""We know that elections are always a big juicy target"":  The attempts to crack down on foreign cyber invaders… https://t.co/4MxoMZigmv",0.0,0.0,1.0,0.0,14
115,@CBSNews,Sat Jul 14 23:33:03 +0000 2018,President Trump responds to Russian hacking indictment by blaming Obama administration https://t.co/H2orCnWFW6 https://t.co/6xtP9C8iqP,-0.4939,0.0,0.789,0.211,15
116,@CBSNews,Sat Jul 14 23:18:03 +0000 2018,Black teen speaks out after woman is charged with attacking him at pool https://t.co/kLevJsJpBL https://t.co/y1A3e4Vici,-0.5859,0.0,0.73,0.27,16
117,@CBSNews,Sat Jul 14 23:03:04 +0000 2018,Israel launches widest Gaza daytime assault since 2014 war https://t.co/JbGn284UzC https://t.co/KimLXMVtJz,-0.8271,0.0,0.539,0.461,17
118,@CBSNews,Sat Jul 14 23:00:19 +0000 2018,British police: Investigators found more than 400 items in Novichok case https://t.co/XwNUSxhCSg https://t.co/3cvYJgz94J,0.0,0.0,1.0,0.0,18
119,@CBSNews,Sat Jul 14 22:40:01 +0000 2018,Will 2019 be the year of the flying car? https://t.co/ssgSvNSVHP https://t.co/baAA0P2PO4,0.0,0.0,1.0,0.0,19
120,@CBSNews,Sat Jul 14 22:20:14 +0000 2018,A mass grave with nearly 100 bodies suspected to be black prisoners has been unearthed in Texas during construction… https://t.co/gIQBsyMPpk,-0.7783,0.0,0.672,0.328,20
